代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
000991,全指医药,9808.7,-1.33%,-131.78,34.94亿,485.9亿,1.77%,9960.64,9784.33,9952.03,9940.48,0.99,上证系列指数
000804,500波动,12052.73,-1.33%,-162.11,36.72亿,241.7亿,1.78%,12227.33,12009.38,12222.75,12214.84,1.04,上证系列指数
000147,优势消费,6877.27,-1.34%,-93.63,9.36亿,211.3亿,2.16%,7013.16,6862.48,6987.37,6970.9,1.01,上证系列指数
000120,380R价值,6488.66,-1.34%,-87.88,66.02亿,647亿,1.88%,6593.73,6469.8,6589.59,6576.54,1.0,上证系列指数
000913,300医药,10217.35,-1.35%,-139.64,4.9亿,134.3亿,1.55%,10354.25,10193.63,10348.63,10356.99,1.1,上证系列指数
000977,内地低碳,1172.95,-1.35%,-16.01,16.78亿,191.4亿,1.87%,1192.9,1170.63,1192.41,1188.95,0.87,上证系列指数
000170,50AH优选,5546.81,-1.36%,-76.73,24.1亿,420.5亿,1.82%,5638.56,5536.39,5627.89,5623.53,0.74,上证系列指数
000025,180基建,1893.39,-1.37%,-26.39,21.03亿,161.5亿,2.17%,1932.36,1890.75,1930.0,1919.78,1.21,上证系列指数
000105,380材料,4341.64,-1.37%,-60.33,15.68亿,148.5亿,1.79%,4408.44,4329.44,4406.31,4401.97,0.95,上证系列指数
000128,380基本,6789.26,-1.37%,-94.34,80.74亿,818.4亿,2.07%,6911.68,6769.17,6907.47,6883.59,1.03,上证系列指数
000943,内地基建,1959.78,-1.37%,-27.28,30.83亿,227.6亿,2.08%,1997.83,1956.48,1995.88,1987.06,1.21,上证系列指数
000938,中证民企,1976.5,-1.38%,-27.76,442.5亿,4360亿,1.92%,2008.77,1970.38,2008.35,2004.26,1.08,上证系列指数
000851,百发100,12827.22,-1.38%,-179.6,21.75亿,563.1亿,2.02%,13051.27,12789.15,13045.76,13006.82,1.11,上证系列指数
000103,沪消费品,8143.65,-1.38%,-114.11,7.82亿,190.6亿,2.02%,8291.74,8125.27,8269.32,8257.77,1.04,上证系列指数
000958,创业成长,996.17,-1.38%,-13.92,14.1亿,213.3亿,1.89%,1012.49,993.4,1012.23,1010.09,0.95,上证系列指数
000808,医药生物,9760.94,-1.39%,-137.87,14.78亿,268.2亿,1.71%,9906.29,9736.75,9897.65,9898.81,0.98,上证系列指数
000121,医药主题,9785.51,-1.40%,-138.95,7.59亿,134.5亿,1.97%,9961.13,9765.58,9951.09,9924.46,1.04,上证系列指数
000941,新能源,1508.7,-1.40%,-21.43,19.22亿,199.3亿,2.19%,1537.93,1504.46,1537.28,1530.13,0.98,上证系列指数
