代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
399913,300医药,10217.35,-1.35%,-139.64,4.9亿,134.3亿,1.55%,10354.25,10193.63,10348.63,10356.99,1.1,深证系列指数
399678,深次新股,856.38,-1.36%,-11.85,4.19亿,115.2亿,1.65%,869.31,854.94,868.67,868.23,0.83,深证系列指数
399691,创业专利,2598.17,-1.36%,-35.8,12.54亿,94.71亿,2.27%,2648.78,2588.98,2644.31,2633.97,1.0,深证系列指数
399401,中小盘,3779.18,-1.37%,-52.39,254.4亿,2289亿,2.05%,3846.17,3767.51,3843.93,3831.57,1.05,深证系列指数
399663,中小低波,1431.91,-1.38%,-19.97,30.03亿,269.5亿,1.85%,1455.45,1428.64,1455.26,1451.87,1.03,深证系列指数
399108,深证B指,1047.86,-1.38%,-14.67,2125万,1.01亿,1.73%,1064.56,1046.17,1063.73,1062.54,0.62,深证系列指数
399958,创业成长,996.17,-1.38%,-13.92,14.1亿,213.3亿,1.89%,1012.49,993.4,1012.23,1010.09,0.95,深证系列指数
399959,军工指数,1163.55,-1.38%,-16.33,9.32亿,117.4亿,2.12%,1185.55,1160.52,1184.18,1179.88,0.9,深证系列指数
399813,中证国安,5419.32,-1.39%,-76.58,37.5亿,650.8亿,2.17%,5517.11,5398.04,5493.02,5495.9,0.97,深证系列指数
399602,中小成长,1110.17,-1.40%,-15.73,40.39亿,425.3亿,1.88%,1127.65,1106.51,1125.67,1125.9,1.02,深证系列指数
399234,水电指数,843.22,-1.40%,-11.99,9.99亿,70.58亿,2.10%,858.73,840.76,858.73,855.22,0.91,深证系列指数
399339,深证科技,5262.82,-1.40%,-74.6,42.69亿,644.9亿,1.91%,5349.5,5247.38,5344.75,5337.42,1.1,深证系列指数
399409,小盘高贝,4158.21,-1.40%,-58.84,34.54亿,402.4亿,2.20%,4235.61,4142.67,4233.16,4217.05,1.08,深证系列指数
399008,中小300,1284.6,-1.41%,-18.43,96.96亿,1046亿,1.83%,1304.76,1280.91,1304.32,1303.03,1.04,深证系列指数
399808,中证新能,1608.16,-1.41%,-23.04,26.67亿,266.9亿,2.18%,1639.55,1603.92,1638.05,1631.2,0.97,深证系列指数
399664,中小高贝,1021.35,-1.42%,-14.69,29.52亿,358.5亿,2.01%,1039.39,1018.56,1038.89,1036.04,0.95,深证系列指数
399406,中盘低波,11555.1,-1.42%,-166.21,51.41亿,340.1亿,2.26%,11783.59,11519.15,11780.64,11721.31,1.1,深证系列指数
399620,深证信息,3485.0,-1.43%,-50.7,49.65亿,571.6亿,1.98%,3545.89,3475.89,3541.94,3535.7,1.04,深证系列指数
399422,中关村A,2854.83,-1.43%,-41.32,61.62亿,575.2亿,2.24%,2910.97,2846.0,2908.82,2896.15,1.12,深证系列指数
399634,中小板EW,3416.96,-1.44%,-49.78,32.97亿,478.8亿,2.02%,3479.07,3409.04,3477.22,3466.74,1.02,深证系列指数
399319,资源优势,1682.91,-1.45%,-24.68,54.93亿,364.5亿,1.90%,1710.04,1677.63,1709.72,1707.59,1.21,深证系列指数
399017,SME创新,2526.36,-1.45%,-37.26,20.52亿,306亿,1.99%,2570.89,2519.92,2570.86,2563.62,0.96,深证系列指数
399687,深成信息,2296.98,-1.45%,-33.86,48.61亿,562.8亿,2.02%,2337.79,2290.73,2334.99,2330.84,1.05,深证系列指数
399666,中创高贝,1357.07,-1.46%,-20.1,50.14亿,646.5亿,2.04%,1380.61,1352.58,1380.21,1377.17,0.96,深证系列指数
399394,国证医药,9595.99,-1.47%,-142.96,10.54亿,217.5亿,1.74%,9743.34,9574.25,9737.16,9738.95,1.03,深证系列指数
399016,深证创新,2964.44,-1.48%,-44.53,29.61亿,418.2亿,1.97%,3014.41,2955.11,3012.44,3008.97,0.92,深证系列指数
399905,中证500,5723.04,-1.50%,-87.14,158.2亿,1434亿,2.06%,5824.52,5704.98,5821.02,5810.18,1.01,深证系列指数
399233,制造指数,1963.49,-1.50%,-29.89,276.9亿,2950亿,1.96%,1996.33,1957.31,1994.47,1993.38,1.05,深证系列指数
399645,100低波,8398.29,-1.50%,-127.98,39.39亿,530.8亿,2.20%,8548.23,8360.86,8548.23,8526.26,1.21,深证系列指数
399433,国证交运,1996.27,-1.51%,-30.55,19.83亿,143.1亿,2.11%,2032.01,1989.27,2031.23,2026.82,0.95,深证系列指数
399106,深证综指,1751.91,-1.51%,-26.91,437.1亿,4451亿,1.90%,1780.55,1746.7,1780.18,1778.81,1.04,深证系列指数
399610,TMT50,4919.3,-1.51%,-75.18,40.86亿,506亿,2.29%,5020.9,4906.56,5006.8,4994.47,1.12,深证系列指数
399107,深证A指,1832.31,-1.51%,-28.15,436.9亿,4450亿,1.90%,1862.28,1826.85,1861.89,1860.46,1.04,深证系列指数
399996,智能家居,2583.42,-1.52%,-39.75,36.79亿,614.8亿,1.84%,2623.84,2575.64,2622.57,2623.17,0.93,深证系列指数
399306,深证ETF,1198.75,-1.52%,-18.49,19.55亿,29.96亿,1.99%,1219.56,1195.33,1218.93,1217.24,0.74,深证系列指数
399386,1000医药,6434.31,-1.52%,-98.99,13.9亿,245.2亿,1.77%,6535.1,6419.47,6530.87,6533.3,1.04,深证系列指数
399103,乐富指数,6045.67,-1.52%,-93.05,44.24亿,54.77亿,2.01%,6155.23,6031.78,6153.26,6138.72,0.87,深证系列指数
399933,中证医药,9883.94,-1.52%,-152.18,13.26亿,232.8亿,1.84%,10043.97,9859.15,10036.51,10036.12,0.97,深证系列指数
399353,国证物流,2723.78,-1.52%,-42.04,13.73亿,124.9亿,2.29%,2778.06,2714.66,2776.76,2765.82,1.04,深证系列指数
399248,文化指数,1042.75,-1.53%,-16.22,5.75亿,60.67亿,2.33%,1064.11,1039.41,1056.42,1058.97,1.03,深证系列指数
399635,创业板EW,1644.56,-1.53%,-25.57,23.91亿,354.8亿,2.09%,1673.8,1638.89,1673.08,1670.13,1.0,深证系列指数
399935,中证信息,4161.03,-1.53%,-64.62,44.08亿,553.4亿,2.08%,4237.33,4149.48,4230.56,4225.65,1.06,深证系列指数
399970,移动互联,2305.08,-1.53%,-35.89,22.62亿,536.3亿,2.13%,2347.31,2297.48,2346.18,2340.97,0.97,深证系列指数
399404,大盘低波,5700.77,-1.53%,-88.35,46.57亿,382.7亿,2.12%,5808.21,5685.68,5806.77,5789.12,0.94,深证系列指数
399696,深证创投,2189.52,-1.54%,-34.15,28.67亿,323.3亿,2.08%,2228.38,2182.04,2226.54,2223.67,0.97,深证系列指数
399992,CSWD并购,1519.24,-1.54%,-23.73,14.57亿,193.8亿,1.92%,1543.97,1514.32,1543.97,1542.97,1.05,深证系列指数
399659,深成指EW,3697.29,-1.54%,-57.83,174.5亿,2131亿,2.06%,3763.28,3685.98,3761.97,3755.12,1.03,深证系列指数
399249,综企指数,730.48,-1.54%,-11.45,1.14亿,8.95亿,3.99%,759.59,729.98,757.86,741.93,1.31,深证系列指数
399982,500等权,6942.33,-1.55%,-109.15,158.2亿,1434亿,2.05%,7065.09,6920.84,7060.44,7051.48,1.01,深证系列指数
399642,中小新兴,1568.68,-1.55%,-24.7,37.57亿,420.6亿,1.79%,1593.59,1565.03,1592.93,1593.38,1.09,深证系列指数
399337,深证民营,4061.19,-1.55%,-63.93,43.8亿,676.3亿,2.09%,4133.34,4047.31,4133.34,4125.12,1.18,深证系列指数
399661,深证低波,5466.16,-1.55%,-85.87,48.72亿,565.5亿,2.13%,5567.84,5449.85,5565.61,5552.03,1.09,深证系列指数
399398,绩效指数,8800.42,-1.56%,-139.19,24.75亿,569.2亿,2.00%,8953.71,8775.09,8949.41,8939.61,0.93,深证系列指数
399415,I100,5522.26,-1.56%,-87.78,20.45亿,314.6亿,2.13%,5622.47,5503.11,5619.81,5610.04,1.04,深证系列指数
399611,中创100R,1915.9,-1.57%,-30.47,36.24亿,572.7亿,2.05%,1949.81,1910.01,1948.94,1946.36,1.01,深证系列指数
399810,CSSW传媒,3125.59,-1.57%,-49.87,13.28亿,144.4亿,2.44%,3190.07,3112.56,3184.34,3175.46,1.07,深证系列指数
399612,中创100,1755.45,-1.57%,-27.91,36.24亿,572.7亿,2.05%,1786.53,1750.05,1785.72,1783.37,1.01,深证系列指数
399358,泰达指数,3165.73,-1.57%,-50.48,17.03亿,179.3亿,2.10%,3226.35,3158.94,3225.09,3216.21,0.93,深证系列指数
399423,中关村50,2545.52,-1.58%,-40.91,33.87亿,316.4亿,2.61%,2604.01,2536.58,2602.72,2586.43,1.24,深证系列指数
399630,1000成长,1390.36,-1.58%,-22.31,109.1亿,1236亿,2.06%,1414.67,1385.54,1414.67,1412.67,1.05,深证系列指数
399557,央视文化,1635.82,-1.59%,-26.51,23.15亿,264.7亿,2.27%,1668.61,1630.95,1663.36,1662.33,1.11,深证系列指数
399315,巨潮中盘,3920.85,-1.59%,-63.31,114.2亿,1085亿,2.35%,4003.19,3909.64,4000.92,3984.17,1.08,深证系列指数
