代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
000937,中证公用,2129.76,-0.88%,-18.87,5.99亿,32.55亿,1.12%,2151.09,2127.08,2150.83,2148.63,0.85,指数成份
000986,全指能源,1947.61,-0.89%,-17.44,38.82亿,261.9亿,1.94%,1979.59,1941.38,1971.92,1965.05,1.45,指数成份
399621,深证电信,3594.7,-0.90%,-32.74,8.55亿,175.5亿,3.45%,3701.86,3576.58,3630.57,3627.44,1.06,指数成份
000813,细分化工,3306.83,-0.90%,-29.87,17.82亿,225.1亿,1.89%,3359.4,3296.33,3355.54,3336.7,0.87,指数成份
399647,深医药50,9860.15,-0.90%,-89.37,6.85亿,125亿,1.32%,9960.14,9828.5,9944.44,9949.52,1.05,指数成份
399973,中证国防,1204.1,-0.91%,-11.09,3.12亿,47.93亿,1.81%,1223.4,1201.4,1219.59,1215.19,0.99,指数成份
000104,380能源,1261.65,-0.91%,-11.61,9.41亿,53.33亿,2.54%,1287.1,1254.8,1273.84,1273.26,1.57,指数成份
399629,700价值,2230.31,-0.91%,-20.53,61.16亿,486.1亿,1.76%,2261.18,2221.61,2255.84,2250.84,1.04,指数成份
399627,中创价值,1822.56,-0.92%,-16.89,49.16亿,506.7亿,2.04%,1852.62,1815.16,1845.56,1839.45,1.04,指数成份
399236,批零指数,1698.03,-0.92%,-15.83,12亿,129.6亿,1.96%,1727.62,1694.07,1724.19,1713.86,1.0,指数成份
399015,中小创新,2130.15,-0.95%,-20.37,113.2亿,959.1亿,1.71%,2159.54,2122.86,2157.04,2150.52,1.09,指数成份
000863,CS精准医,2597.03,-0.95%,-24.94,2.49亿,81.04亿,1.23%,2622.64,2590.33,2618.62,2621.97,1.09,指数成份
399806,环境治理,1783.92,-0.96%,-17.28,10.57亿,81.11亿,1.85%,1813.47,1780.22,1802.56,1801.2,1.09,指数成份
399624,中创400,1798.05,-0.96%,-17.5,107.6亿,1026亿,1.68%,1822.28,1791.74,1819.63,1815.55,1.05,指数成份
399010,深证700,6441.6,-0.97%,-63.2,163.5亿,1423亿,1.67%,6526.87,6418.29,6521.81,6504.8,1.06,指数成份
000158,上证环保,1335.69,-0.97%,-13.1,9.14亿,91亿,1.74%,1356.25,1332.73,1349.41,1348.79,0.83,指数成份
399993,CSWD生科,2607.16,-0.97%,-25.67,2.42亿,56.77亿,1.65%,2643.55,2600.04,2636.03,2632.82,0.97,指数成份
399628,700成长,1863.09,-0.97%,-18.18,53.27亿,475.6亿,1.86%,1889.19,1854.15,1885.17,1881.27,1.0,指数成份
399695,深证节能,2433.78,-0.98%,-23.99,28.73亿,247.3亿,1.79%,2468.99,2425.09,2466.06,2457.77,1.03,指数成份
399994,信息安全,1771.53,-0.98%,-17.57,28.67亿,539亿,2.17%,1802.56,1763.79,1790.9,1789.1,1.0,指数成份
000119,380R成长,4210.38,-0.98%,-41.55,60.95亿,678.8亿,1.67%,4268.7,4197.6,4265.86,4251.93,1.05,指数成份
399803,工业4.0,2267.91,-0.99%,-22.76,7.29亿,203.9亿,1.99%,2304.81,2259.3,2302.53,2290.67,1.0,指数成份
